date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
2020-05-01,127.44,127.89,124.9152,127.53,1738348,20296,126.956015,126.5,False,True,220.0
2020-05-04,127.76,128.055,125.56,127.44,1833797,21279,127.165937,126.45,False,True,137635.0
2020-05-05,128.65,132.2418,128.29,131.3,2445783,32167,131.205885,128.0,False,True,200.0
2020-05-06,125.97,128.91,125.63,125.69,3394225,36974,127.008008,128.01,False,False,285.0
2020-05-07,127.29,127.5,123.368,124.24,3098116,38636,124.750822,127.75,True,False,1259.0
2020-05-08,125.21,126.36,124.82,125.47,1617588,22460,125.525193,124.5,False,True,109.0
2020-05-11,125.34,126.85,124.55,126.39,1888254,22338,126.065143,125.2,False,True,1100.0
2020-05-12,127.06,127.7,123.87,124.01,1889757,25583,125.63255,126.96,False,False,160032.0
2020-05-13,123.53,125.07,121.745,123.03,1879048,24727,122.973531,124.0,False,False,114.0
2020-05-14,122.07,126.53,121.5,126.03,2246902,27620,124.31753,120.04,False,True,487.0
2020-05-15,126.44,127.9586,125.31,127.49,2921717,24884,126.989862,127.15,True,True,1379.0
2020-05-18,130.18,132.54,129.8,131.42,2762783,32524,131.190959,128.5,False,True,247.0
2020-05-19,131.05,135.76,130.08,134.34,3335355,37257,133.810787,131.01,False,True,101.0
2020-05-20,136.2,137.07,133.04,133.34,2303439,30688,134.424045,134.95,False,False,230.0
2020-05-21,133.79,133.89,129.9,130.33,1422158,21151,130.849222,134.0,False,False,100.0
2020-05-22,129.6,130.78,128.88,130.11,1602579,18488,129.994898,133.99,False,False,100.0
2020-05-26,131.42,132.91,130.14,130.45,2322280,30300,130.965265,131.33,False,False,165675.0
2020-05-27,133.7,135.71,130.85,135.64,2287030,29211,133.58781,132.48,False,True,402.0
2020-05-28,137.81,140.24,137.46,138.11,2367785,31229,138.968173,135.13,False,True,100.0
2020-05-29,138.44,139.65,134.95,139.39,2836963,29169,138.095308,138.27,False,True,212.0
2020-06-01,138.65,139.1,137.07,138.34,1412966,22449,138.200234,139.12,False,False,2139.0
2020-06-02,138.67,141.51,138.22,141.48,1649478,23738,140.298602,139.07,True,True,152507.0
2020-06-03,141.65,143.21,140.67,142.53,1459724,18812,142.121691,141.375,False,True,75158.0
2020-06-04,141.02,142.26,139.4,140.52,1524790,21161,140.655504,141.145,True,False,100143.0
2020-06-05,141.53,142.43,139.35,141.01,1948668,25121,141.369759,140.98,False,True,200.0
2020-06-08,139.0,141.35,137.67,141.3,1747335,18833,140.740621,141.25,False,True,380.0
2020-06-09,140.79,141.79,138.47,138.8,1622489,19522,139.55895,141.1763,True,False,50757.0
2020-06-10,139.25,141.22,138.75,139.91,1731146,21175,140.103982,139.3,True,True,81043.0
2020-06-11,137.67,138.09,130.705,131.06,2524007,34296,132.442191,138.0,False,False,706.0
2020-06-12,134.37,136.21,131.31,134.07,1638539,22124,133.798704,132.0,False,True,324.0
2020-06-15,131.81,133.6599,130.405,133.3,2458171,21226,132.801961,130.7,False,True,150.0
2020-06-16,136.89,137.7,134.71,136.24,1919931,25291,136.308421,134.22,False,True,315.0
2020-06-17,136.77,137.55,136.11,136.79,1455023,15113,136.870846,136.78,True,True,54093.0
2020-06-18,136.3,137.69,135.54,137.4,1031539,14610,137.088824,136.69,True,True,48410.0
2020-06-19,140.05,140.1,136.43,137.4,2316320,20258,137.975982,139.9,True,False,6132.0
2020-06-22,136.81,137.4499,136.01,136.94,1107823,14830,136.834281,136.62,False,True,1287.0
2020-06-23,138.1,139.05,137.54,138.11,994943,14028,138.338588,137.0,False,True,102.0
2020-06-24,137.03,137.77,133.555,134.3,1701748,23119,134.674956,137.43,True,False,59221.0
2020-06-25,134.17,135.48,131.89,135.31,1141680,16685,134.054363,132.49,False,True,69777.0
2020-06-26,135.0,135.745,132.6,132.66,2612827,20891,133.305282,135.0,False,False,40193.0
2020-06-29,133.26,133.55,131.28,131.98,2126574,24597,132.191701,132.46,False,False,83083.0
2020-06-30,132.1,137.82,132.0588,137.04,1878794,22959,135.98886,133.22,True,True,81616.0
2020-07-01,137.29,138.97,136.7001,137.19,1227511,18592,137.545064,138.98,False,False,125.0
2020-07-02,138.58,139.05,137.37,137.66,1307363,17886,138.147214,138.94,False,False,470.0
2020-07-06,138.57,139.6,137.955,138.6,1297787,15975,138.734834,138.19,False,True,55887.0
2020-07-07,138.33,140.56,138.11,138.44,1140329,14907,139.261866,138.49,True,False,427.0
2020-07-08,138.72,139.69,137.43,138.81,932569,13629,138.557202,139.38,True,False,49571.0
2020-07-09,138.81,139.56,135.34,137.68,962454,15229,137.34961,138.41,False,False,172.0
2020-07-10,137.42,137.83,135.62,137.1,1821107,13256,136.909521,136.57,False,True,39335.0
2020-07-13,138.46,141.7054,138.115,138.31,1569240,20179,139.996747,139.27,True,False,59293.0
2020-07-14,138.23,140.61,138.16,140.4,1163347,16307,139.711931,139.0333,True,True,62479.0
2020-07-15,141.56,143.785,141.04,142.92,2223156,19697,142.754855,141.765,True,True,83781.0
2020-07-16,142.6,142.96,141.47,142.94,1046371,14841,142.291891,142.29,False,True,43720.0
2020-07-17,143.8,145.28,142.23,144.66,1518070,13924,144.287609,143.0,False,True,100.0
2020-07-20,145.09,146.685,144.32,145.97,1173703,17066,145.767778,145.0,False,True,100.0
2020-07-21,146.5,146.995,144.17,145.01,1659556,16277,145.176301,147.32,False,False,100.0
2020-07-22,145.41,146.1,144.05,145.11,1020883,13224,145.001038,145.01,False,True,31645.0
2020-07-23,145.51,147.085,143.63,144.07,1051513,15197,145.038055,146.66,True,False,58749.0
2020-07-24,143.71,144.34,141.88,144.22,1214849,16231,143.703163,142.335,False,True,56158.0
2020-07-27,144.2,147.075,143.735,146.92,1256777,16522,146.473602,144.92,True,True,71381.0
2020-07-28,147.1,147.8,145.72,145.98,2257542,17432,146.394168,146.92,False,False,175.0
2020-07-29,146.38,148.18,146.04,147.59,1059580,16317,147.366341,146.0,False,True,105.0
2020-07-30,146.01,149.49,146.01,149.11,1129348,17102,148.316378,146.51,True,True,68627.0
2020-07-31,148.81,151.91,148.47,151.68,2251043,26620,150.399205,149.43,False,True,3071.0
2020-08-03,152.19,155.42,151.73,154.51,1902354,25747,154.57412,153.18,True,True,87063.0
2020-08-04,154.0,155.91,153.1865,155.64,1682267,20363,154.965538,153.97,False,True,122641.0
2020-08-05,156.0,158.37,155.78,157.72,1599471,21105,157.494915,156.0,False,True,170.0
2020-08-06,158.35,163.98,157.72,161.33,2069138,26335,160.826444,161.99,True,False,1173.0
2020-08-07,161.95,161.995,157.41,158.88,1515700,20383,159.004057,161.3,False,False,100.0
2020-08-10,159.33,159.925,157.19,158.09,1393296,16735,158.07817,158.315,False,False,73246.0
2020-08-11,158.87,159.475,156.66,156.93,1136692,17257,157.80998,157.75,False,False,58539.0
2020-08-12,157.31,160.86,156.89,159.36,1386534,19321,159.368716,157.32,True,True,74497.0
2020-08-13,158.67,159.865,158.05,158.87,1192841,17970,158.953695,158.6,False,True,570.0
2020-08-14,158.67,158.77,155.735,157.05,1780230,22442,156.99491,159.0,False,False,197.0
2020-08-17,157.92,158.5832,156.81,157.42,2367956,25905,157.517826,158.75,False,False,100.0
2020-08-18,157.51,160.53,157.09,160.17,1476757,19179,159.510624,157.31,False,True,65822.0
2020-08-19,160.04,160.98,158.37,158.58,1076708,15058,159.348903,160.75,True,False,69567.0
2020-08-20,158.03,158.89,157.09,158.54,1828452,20414,158.236786,157.62,False,True,505.0
2020-08-21,158.76,159.22,157.19,158.37,1259454,15197,158.329457,158.55,False,False,114022.0
2020-08-24,159.75,159.75,156.21,156.76,1722291,21824,156.989506,159.83,False,False,332.0
2020-08-25,157.99,158.87,156.64,158.58,1076129,15008,158.192763,157.83,False,True,246.0
2020-08-26,157.57,160.41,157.22,159.76,1917806,17766,159.317428,157.66,True,True,62261.0
2020-08-27,160.0,161.03,158.57,159.61,1121653,16617,160.019649,159.19,False,True,45099.0
2020-08-28,159.41,160.18,158.59,160.0,925974,13468,159.341036,159.01,False,True,87747.0
2020-08-31,159.85,161.575,159.26,160.1,1392806,16368,160.39549,160.235,True,False,38885.0
2020-09-01,160.71,162.14,159.975,162.05,1273151,19446,160.988089,160.705,False,True,94128.0
2020-09-02,162.05,165.82,161.82,165.33,1790301,24881,164.413976,163.55,True,True,84044.0
2020-09-03,165.28,165.52,157.37,158.8,1794222,28327,159.572284,165.0,True,False,475.0
2020-09-04,159.16,160.21,155.29,157.24,1552544,24298,157.167976,159.99,False,False,103.0
2020-09-08,156.23,156.27,152.5028,153.51,1829058,27774,154.037979,154.515,False,False,134263.0
2020-09-09,155.2,160.7,155.2,158.91,1408593,21687,159.02061,156.53,True,True,52173.0
2020-09-10,158.9,161.52,157.21,158.1,1356816,21234,159.380316,159.71,True,False,62711.0
2020-09-11,159.0,159.62,157.85,158.59,854092,14404,158.692613,158.42,False,True,39320.0
2020-09-14,159.94,161.97,159.61,160.86,2092036,19833,160.927026,160.0,False,True,400.0
2020-09-15,162.25,163.905,161.695,162.28,1039901,18162,162.499959,163.35,True,False,65433.0
2020-09-16,163.52,163.99,161.13,161.25,1721183,18387,162.142683,163.87,True,False,147372.0
2020-09-17,160.42,160.51,158.0,160.47,1258067,17040,159.865307,158.47,False,True,80863.0
2020-09-18,160.11,161.97,159.1176,160.87,2521175,21438,160.716166,161.66,True,False,374444.0
2020-09-21,159.34,161.07,157.42,160.97,1170004,19282,159.564321,158.04,False,True,57156.0
2020-09-22,160.1,162.48,160.1,161.51,1545267,21894,161.576168,160.46,False,True,2104.0
2020-09-23,161.97,162.67,159.12,159.33,1301298,18787,160.691466,161.4691,False,False,261.0
2020-09-24,158.84,159.505,156.53,157.98,1415609,21958,158.205975,158.41,False,False,60135.0
2020-09-25,157.43,161.455,157.2464,160.84,1195871,16600,160.099762,158.995,True,True,49657.0
2020-09-28,162.16,164.3424,161.16,161.32,2293871,21441,161.673743,162.84,True,False,66430.0
2020-09-29,161.62,163.41,161.4419,162.48,1046340,15596,162.735304,162.705,True,False,49416.0
2020-09-30,162.92,166.79,162.75,165.37,1906706,23602,165.218149,163.06,True,True,130367.0
2020-10-01,166.23,166.78,163.1001,164.03,1061924,20324,164.305718,166.14,False,False,295.0
2020-10-02,162.08,164.71,162.0,163.55,1042653,18814,163.677363,162.27,True,True,1430.0
2020-10-05,164.18,165.07,162.53,163.45,1274675,18850,163.456092,164.67,True,False,64183.0
2020-10-06,164.5,164.5,160.84,161.52,1194883,17830,162.452508,164.2,True,False,505.0
2020-10-07,162.62,163.49,158.95,159.91,3591701,35939,160.273731,164.0,False,False,100.0
2020-10-08,161.93,163.555,159.89,163.17,3642531,34532,161.440622,161.24,False,True,261.0
2020-10-09,163.98,165.64,162.86,165.43,1620930,18344,164.949981,163.55,False,True,39063.0
2020-10-12,167.05,168.96,166.19,168.55,1582291,20565,168.093638,166.72,True,True,513.0
2020-10-13,167.84,168.06,165.31,165.32,1515846,19234,166.510619,167.55,False,False,88260.0
2020-10-14,166.39,166.7,162.79,163.66,1319542,18388,164.331867,165.34,False,False,61957.0
2020-10-15,162.05,163.23,161.21,162.99,1364031,19474,162.571396,162.1,False,True,71623.0
2020-10-16,163.98,165.845,163.32,163.55,1631047,19322,163.874995,164.48,False,False,200.0
2020-10-19,164.62,165.0,159.42,159.99,1271802,19793,161.418022,164.8,True,False,767.0
2020-10-20,160.28,161.535,159.12,159.69,2145698,29538,160.193285,160.095,False,False,142933.0
